Seq_No,State_Jurisdiction,Local_District,Organization,Link,Grade_Range,Type,Tag,Tag2,GIAPII_Rating
50,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Course Descriptions,,9
51,Oklahoma,Oklahoma City,Oklahoma City Public School,https://www.okcps.org/apg ,High School,Public School,Career and Technical Education,CTE,9
52,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Expected Schoolwide Learning Results,ESLRs,9
53,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Credit Hours,,9
54,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Graduation Requirements,,9
55,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Early Assessment Program,EAP,9
56,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Course Catalog,,9
57,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Course Offerings,,9
58,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Advanced Placement,AP,9
59,California,Rocklin Unified School District,Whitney High School,https://whs.rocklinusd.org/Counseling/Academic-Counseling/Academic-Planning-Guide/index.html ,High School,Public School,Junior Reserve Officer Training Corps,JROTC,9
60,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Subject by Grade,,8
61,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Advanced Placement,,8
62,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Graduation Requirements,,8
63,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Careeer and Technical Education,CTE,8
64,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Advancement Via Individual Determination,AVID,8
65,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Course Offerings,,8
66,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Courses of Study,,8
67,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Pathways,,8
68,California,Roseville Joint Union High School District,Roseville High School,https://www.rjuhsd.us/Page/10308,High School,Public School,Program of Study,,8
69,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,High School,Public School,Course Catalog,,9
70,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,Middle School,Public School,Course Catalog,,7
71,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,High School,Public School,Pathways,,9
72,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,Middle School,Public School,Pathways,,7
73,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,High School,Public School,Course Database,,9
74,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,Middle School,Public School,Course Database,,7
75,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,High School,Public School,Credit Hours,,9
76,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,Middle School,Public School,Credit Hours,,7
77,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,High School,Public School,Graduation Requirements,,9
78,Virginia,Henrico County Government,Henrico County Public Schools,https://academicplanningguide.henricoschools.us/ ,High School,Public School,Diploma Requirements,,9
79,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Graduation Requirements,,10
80,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Career and Technical Education,CTE,10
81,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Graduation Plan,,10
82,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,State of Texas Assessments of Academic Readiness,STAAR,10
83,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Assessment,,10
84,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Grade Scale,,10
85,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Grade Point Equivalents,,10
86,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Graduation Requirements,,10
87,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,Advanced Placement,AP,10
88,Texas,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School,https://www.hebisd.edu/cms/lib/TX50000437/Centricity/Domain/95/High%20School%20Academic%20Planning%20Guide%202021-2022.pdf ,High School,Public School,International Baccalaureate,IB,10
89,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,International Baccalaureate,IB,9
90,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,ACCEL,,9
91,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Advanced Placement,,9
92,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Diploma Requirements,,9
93,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Graduation Requirements,,9
94,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Industry Certification,,9
95,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Reserve Officer Training Corps,ROTC,9
96,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Program of Study,,9
97,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Course Descriptions,,9
98,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Course Catalog,,9
99,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Credit Hours,,9
100,Florida,Citrus County School Board,Citrus County Schools,https://cdn5-ss19.sharpschool.com/UserFiles/Servers/Server_737617/File/Departments/Career%20and%20Technical%20Education/PlanningGuide2020-21.pdf ,High School,Public School,Advanced Placement,AP,9
101,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Grade Scale,,10
102,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Graduation Requirements,,10
103,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Diploma Requirements,,10
104,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Credit Hours,,10
105,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Pathways,,10
106,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Promotion Requirements,,10
107,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Course Offerings,,10
108,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Advanced Placement,AP,10
109,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Course Descriptions,,10
110,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Subject by Grade,,10
111,Georgia,Cobb County District,Walton High School,https://www.waltonhigh.org/domain/113 ,High School,Public School,Summer Reading,,10
112,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Graduation Requirements,,10
113,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Credit Hours,,10
114,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Pathways,,10
115,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Advanced Placement,AP,10
116,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Keystone Exam,,10
117,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Subject by Grade,,10
118,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Course Offerings,,10
119,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Course Flowchart,,10
120,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Course Descriptions,,10
121,Pennsylvania,Central Dauphin School District,Central Dauphin East High School,https://www.cdschools.org/Page/2082 ,High School,Public School,Course Catalog,,10
122,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Graduation Requirements,,7
123,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Grade Scale,,7
124,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Advanced Placement,AP,7
125,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Career and Technical Education,CTE,7
126,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Course Descriptions,,7
127,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Program of Study,,7
128,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,West-MEC,,7
129,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Pathways,,7
130,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,Course Catalog,,7
131,Arizona,Deer Valley Unified School District,Mountain Ridge High School,https://www.dvusd.org/domain/5466,High School,Public School,International Baccalaureate,,7
132,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Graduation Requirements,,7
133,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Grade Scale,,7
134,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Advanced Placement,AP,7
135,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Career and Technical Education,CTE,7
136,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Course Descriptions,,7
137,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Program of Study,,7
138,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,West-MEC,,7
139,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Pathways,,7
140,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,Course Catalog,,7
141,Arizona,Deer Valley Unified School District,Boulder Creek High School,https://www.dvusd.org/Page/4408,High School,Public School,International Baccalaureate,,7
142,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Graduation Requirements,,7
143,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Grade Scale,,7
144,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Advanced Placement,AP,7
145,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Career and Technical Education,CTE,7
146,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Course Descriptions,,7
147,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Program of Study,,7
148,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,West-MEC,,7
149,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Pathways,,7
150,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,Course Catalog,,7
151,Arizona,Deer Valley Unified School District,Aspire - Deer Valley's Online Academy,https://www.dvusd.org/aspire,High School,Public School,International Baccalaureate,,7
